Title:,"Time Series, Area-Averaged of Incident shortwave radiation land, time average hourly 0.5 x 0.625 deg. [MERRA-2 (hourly)"
User Start Date:,2015-12-31T00:00:00Z
User End Date:,2025-01-01T23:59:59Z
User Bounding Box:,"-75.76,5.33,-75.66,5.43"
Data Bounding Box:,"-75.625,5.5,-75.625,5.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2015-12-31T00:00:00Z&endtime=2025-01-01T23:59:59Z&bbox=-75.76,5.33,-75.66,5.43&data=M2T1NXLFO_5_12_4_SWGDN&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXLFO_5_12_4_SWGDN):, 1000000000000000

time, mean_M2T1NXLFO_5_12_4_SWGDN
2016-01-16 09:30:00,0
2016-01-16 10:30:00,0
2016-01-16 11:30:00,48.6873703
2016-01-16 12:30:00,255.925354
2016-01-16 13:30:00,514.503967
2016-01-16 14:30:00,731.161377
2016-01-16 15:30:00,882.746704
2016-01-16 16:30:00,957.567993
2016-01-16 17:30:00,942.717712
2016-01-16 18:30:00,865.157043
2016-01-16 19:30:00,670.556824
2016-01-16 20:30:00,431.759094
2016-01-16 21:30:00,232.476898
2016-01-16 22:30:00,43.3267021
2016-01-16 23:30:00,0
2016-01-17 00:30:00,0
2016-01-17 01:30:00,0
2016-01-17 02:30:00,0
2016-01-17 03:30:00,0
2016-01-17 04:30:00,0
2016-01-17 05:30:00,0
2016-01-17 06:30:00,0
2016-01-17 07:30:00,0
2016-01-17 08:30:00,0
2016-01-17 09:30:00,0
2016-01-17 10:30:00,0
2016-01-17 11:30:00,37.7713165
2016-01-17 12:30:00,198.200531
2016-01-17 13:30:00,397.267181
2016-01-17 14:30:00,698.63385
2016-01-17 15:30:00,872.420227
2016-01-17 16:30:00,957.302307
2016-01-17 17:30:00,945.388489
2016-01-17 18:30:00,831.266052
2016-01-17 19:30:00,683.326416
2016-01-17 20:30:00,479.605896
2016-01-17 21:30:00,261.429047
2016-01-17 22:30:00,60.5421562
2016-01-17 23:30:00,0
2016-01-18 00:30:00,0
2016-01-18 01:30:00,0
2016-01-18 02:30:00,0
2016-01-18 03:30:00,0
2016-01-18 04:30:00,0
2016-01-18 05:30:00,0
2016-01-18 06:30:00,0
2016-01-18 07:30:00,0
2016-01-18 08:30:00,0
2016-01-18 09:30:00,0
2016-01-18 10:30:00,0
2016-01-18 11:30:00,50.9956779
2016-01-18 12:30:00,255.266556
2016-01-18 13:30:00,526.476624
2016-01-18 14:30:00,748.625244
2016-01-18 15:30:00,905.361572
2016-01-18 16:30:00,987.477783
2016-01-18 17:30:00,988.768738
2016-01-18 18:30:00,885.026001
2016-01-18 19:30:00,727.579651
2016-01-18 20:30:00,509.917969
2016-01-18 21:30:00,260.493256
2016-01-18 22:30:00,46.9254494
2016-01-18 23:30:00,0
2016-01-19 00:30:00,0
2016-01-19 01:30:00,0
2016-01-19 02:30:00,0
2016-01-19 03:30:00,0
2016-01-19 04:30:00,0
2016-01-19 05:30:00,0
2016-01-19 06:30:00,0
2016-01-19 07:30:00,0
2016-01-19 08:30:00,0
2016-01-19 09:30:00,0
2016-01-19 10:30:00,0
2016-01-19 11:30:00,30.490799
2016-01-19 12:30:00,158.203262
2016-01-19 13:30:00,285.305115
2016-01-19 14:30:00,387.585175
2016-01-19 15:30:00,393.364594
2016-01-19 16:30:00,474.458771
