system:index,fecha,precip_mm,.geo
20160912,2016-09-12,4.972680568695068,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160913,2016-09-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160914,2016-09-14,14.918042182922363,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160915,2016-09-15,19.890722274780273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160916,2016-09-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160917,2016-09-17,2.4088335037231445,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160918,2016-09-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160919,2016-09-19,2.4088335037231445,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160920,2016-09-20,7.226500511169434,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160921,2016-09-21,6.798159599304199,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160922,2016-09-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160923,2016-09-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160924,2016-09-24,1.6995398998260498,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160925,2016-09-25,8.497699737548828,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160926,2016-09-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160927,2016-09-27,18.15447425842285,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160928,2016-09-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160929,2016-09-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160930,2016-09-30,18.15447425842285,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161001,2016-10-01,11.230263710021973,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161002,2016-10-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161003,2016-10-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161004,2016-10-04,5.615131855010986,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161005,2016-10-05,22.460527420043945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161006,2016-10-06,5.683727264404297,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161007,2016-10-07,12.991376876831055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161008,2016-10-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161009,2016-10-09,5.683727264404297,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161010,2016-10-10,17.05118179321289,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161011,2016-10-11,5.067127227783203,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161012,2016-10-12,15.20138168334961,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161013,2016-10-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161014,2016-10-14,20.268508911132812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161015,2016-10-15,5.067127227783203,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161016,2016-10-16,10.293994903564453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161017,2016-10-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161018,2016-10-18,20.587989807128906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161019,2016-10-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161020,2016-10-20,5.146997451782227,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161021,2016-10-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161022,2016-10-22,20.093746185302734,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161023,2016-10-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161024,2016-10-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161025,2016-10-25,13.395831108093262,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161026,2016-10-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161027,2016-10-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161028,2016-10-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161029,2016-10-29,41.36277770996094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161030,2016-10-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161031,2016-10-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161101,2016-11-01,16.08096694946289,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161102,2016-11-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161103,2016-11-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161104,2016-11-04,5.36032247543335,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161105,2016-11-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161106,2016-11-06,21.32125473022461,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161107,2016-11-07,5.330313682556152,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161108,2016-11-08,5.330313682556152,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161109,2016-11-09,5.330313682556152,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161110,2016-11-10,15.990942001342773,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161111,2016-11-11,15.219500541687012,"{""type"":""MultiPoint"",""coordinates"":[]}"
