"CodigoEstacion","CodigoSensor","FechaObservacion","ValorObservado","NombreEstacion","Departamento","Municipio","ZonaHidrografica","Latitud","Longitud","DescripcionSensor","UnidadMedida"
"0023035030","0068","2018 Aug 31 01:00:00 AM","25,3","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2018 Jun 14 01:00:00 PM","32,7","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2006 Sep 25 06:00:00 AM","23,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2018 Apr 04 02:00:00 PM","32,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2013 May 13 07:00:00 AM","24,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2013 Jul 03 09:00:00 PM","24,8","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2011 Jun 30 10:00:00 PM","23","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2006 Dec 28 06:00:00 AM","24","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2013 Jun 26 11:00:00 AM","32,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2014 Dec 12 04:00:00 PM","32,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2007 Jan 27 04:00:00 AM","24,5","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2014 Nov 08 10:00:00 AM","26,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2015 Apr 15 04:00:00 AM","23,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2018 Dec 06 05:00:00 PM","29,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2008 Jan 17 09:00:00 AM","24,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2010 Oct 19 07:00:00 AM","24,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2015 Sep 27 09:00:00 PM","28","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2015 Jan 11 05:00:00 AM","23,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2013 Dec 13 08:00:00 PM","25,9","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2010 Dec 20 11:00:00 PM","22,9","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2010 Apr 15 12:00:00 PM","34","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2008 Jul 06 01:00:00 PM","30,7","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2010 Mar 19 05:00:00 PM","32,8","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2011 May 05 12:00:00 AM","24,7","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2006 Dec 21 02:00:00 PM","34","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2017 Aug 20 12:00:00 AM","24,7","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2011 Jul 12 05:00:00 PM","30,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2018 Jan 19 01:00:00 PM","31,3","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2014 Dec 19 04:00:00 AM","23,5","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
